date,year,quarter,month,Real_GDP_SA,Uncertainty_Index,Household_credit,Residential_prices,Unemployment_Rate,Unemployment_Claims,Automobile_Sales,Manufacturing_Working_hours_index,Industrial_Capacity_Utilization_Index,Industrial_Production_Index,Steel_Production,Petroleum_Product_Sales,Energy_Generation,Nominal_Revenue_Tourism_Index,Retail_Trade_Index,Tendancy_manufact_exports,Tendancy_manufact_production,Tendancy_employment,Foreign_Trade_Index,Average_Real_Income,3_months_bond_yield,Apple_Mobility_Index,Fuel_Price_Ethanol,Agriculture_Price:Soybean,Dollar_Rate,Ibov,Savings_Deposits,Foreign_Trade_Balance
1996-09-21,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,483.7960893441288,NaN,NaN
1996-09-28,0,1,1,104.37098349,0.2262443,0.1157558489685876,NaN,NaN,NaN,148772.0,NaN,NaN,79.7048945364452,2182.0,NaN,NaN,NaN,NaN,-5.8,27.1,-11.0,20.386810399492703,NaN,NaN,NaN,NaN,NaN,NaN,482.5614495701211,NaN,NaN
1996-10-05,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,484.1031451338933,NaN,NaN
1996-10-12,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,489.3514636676239,NaN,NaN
1996-10-19,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,497.01655725072175,NaN,NaN
1996-10-26,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,149587.0,NaN,NaN,80.249135005747,2241.0,NaN,NaN,NaN,NaN,-1.4,20.5,-11.9,20.84702907711757,NaN,NaN,NaN,NaN,NaN,NaN,489.8935501090952,NaN,NaN
1996-11-02,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,481.453658340084,NaN,NaN
1996-11-09,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,490.03278958820175,NaN,NaN
1996-11-16,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,481.6032498805191,NaN,NaN
1996-11-23,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,483.6548649860844,NaN,NaN
1996-11-30,0,0,1,NaN,NaN,NaN,NaN,NaN,NaN,148279.0,NaN,NaN,80.7494851146211,2195.0,NaN,NaN,NaN,NaN,-5.1,27.7,-11.5,19.33207309388784,NaN,NaN,NaN,NaN,NaN,NaN,486.9098247479507,NaN,NaN
1996-12-07,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,500.456618956309,NaN,NaN
1996-12-14,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,492.0867085899776,NaN,NaN
1996-12-21,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,497.7097588102458,NaN,NaN
1996-12-28,1,1,1,103.29977567,0.3058338,0.1208764601269813,NaN,NaN,NaN,127558.0,NaN,NaN,80.0296832036092,2182.0,NaN,NaN,NaN,NaN,-7.2,29.4,-10.9,18.849780012570708,NaN,NaN,NaN,NaN,NaN,NaN,505.2852017115874,NaN,NaN
1997-01-04,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,507.0836799717374,NaN,NaN
1997-01-11,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,532.972028029176,NaN,NaN
1997-01-18,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,551.9792809725974,NaN,NaN
