date,Brazil
2011-01-29,2.162970686626821
2011-02-26,2.2002097802272824
2011-03-26,2.243655389427821
2011-04-30,2.2746879674282057
2011-05-28,2.296410772028475
2011-06-25,2.3398563812290143
2011-07-30,2.3553726702292064
2011-08-27,2.364682443629322
2011-09-24,2.401921537229784
2011-10-29,2.3061306866748974
2011-11-26,2.329874631968848
2011-12-31,2.326906638807104
2012-01-28,2.356586570424541
2012-02-25,2.3536185772627976
2012-03-31,2.386266502041979
2012-04-28,2.3951704815272103
2012-05-26,2.424850413144648
2012-06-30,2.454530344762085
2012-07-28,2.44265837211511
2012-08-25,2.475306296894292
2012-09-29,2.381046754585143
2012-10-27,2.395202799499442
2012-11-24,2.4659830240709386
2012-12-29,2.445551095640201
2013-01-26,2.4316716910111422
2013-02-23,2.4288958100853306
2013-03-30,2.467758143046696
2013-04-27,2.464982262120884
2013-05-25,2.517723999711309
2013-06-29,2.473142586492713
2013-07-27,2.5188916876574305
2013-08-31,2.5323473056470536
2013-09-28,2.5484940472346014
2013-10-26,2.6050076427910183
2013-11-30,2.5888609012034705
2013-12-28,2.59424314839932
2014-01-25,2.578096406811772
2014-02-22,2.5680587339884644
2014-03-29,2.544646750701573
2014-04-26,2.5959501126108795
2014-05-31,2.593384944515414
2014-06-28,2.5728635997516918
2014-07-26,2.47025687593308
2014-08-30,2.616471457374601
2014-09-27,2.662644483092977
2014-10-25,2.585689440229018
2014-11-29,2.5046916424223773
2014-12-27,2.5146210443744974
2015-01-31,2.546891600718889
2015-02-28,2.534479848278738
2015-03-28,2.484832838518136
2015-04-25,2.524550446326618
2015-05-30,2.509656343398437
2015-06-27,2.4873151890061664
2015-07-25,2.460009333637835
2015-08-29,2.3305304084754925
2015-09-26,2.337432275430504
2015-10-31,2.358137876295538
2015-11-28,2.296021073700436
2015-12-26,2.346634764703853
2016-01-30,2.4041503226622805
2016-02-27,2.339732897748841
2016-03-26,2.314426052247133
2016-04-30,2.277616095153739
2016-05-28,2.2592111166070423
2016-06-25,2.2500086273336937
2016-07-30,2.3075241852921216
2016-08-27,2.399549078025606
2016-09-24,2.286818584427088
2016-10-29,2.095580345307878
2016-11-26,2.1145163122835515
2016-12-31,2.135556275589856
2017-01-28,2.1502842499042685
2017-02-25,2.217612132484441
2017-03-25,2.217612132484441
2017-04-29,2.189112839757769
2017-05-27,2.197397088914846
2017-06-24,2.226391960964618
2017-07-29,2.178010557673926
2017-08-26,2.1367212580023827
2017-09-30,2.175946092690349
2017-10-28,2.161494837805309
2017-11-25,2.171817162723195
2017-12-30,2.1800750226575034
2018-01-27,2.173881627706772
2018-02-24,2.1903973475753893
2018-03-31,2.206913067444007
2018-04-28,2.264718086984168
2018-05-26,2.2316866472469328
2018-06-30,2.1821394876410807
2018-07-28,2.2956850617378257
2018-08-25,2.336974361409369
2018-09-29,2.2338869830323
2018-10-27,2.176809694479052
2018-11-24,2.206332429937628
2018-12-29,2.231105691280063
2019-01-26,2.2997249348607323
2019-02-23,2.258553388712331
2019-03-30,2.317369883210048
2019-04-27,2.2958038352275514
2019-05-25,2.362462528991631
2019-06-29,2.301376798669804
2019-07-27,2.33397963665096
2019-08-31,2.2649383326908654
2019-09-28,2.278363030683106
2019-10-26,2.2937055426742377
2019-11-30,2.286034286678672
2019-12-28,2.307130240666478
2020-01-25,2.3416508926465256
2020-02-29,2.31629168810515
2020-03-28,1.5716357172926705
2020-04-25,0.7147200523878573
2020-05-30,0.7802048739417186
2020-06-27,0.8550446700032743
2020-07-25,0.8905935731325133
2020-08-29,1.1236668122580475
2020-09-26,1.2580588562490431
2020-10-31,1.4297820235708711
2020-11-28,1.5175101633983266
2020-12-26,1.5529747305626174
2021-01-30,1.5324426127306594
2021-02-27,1.6033717470592408
2021-03-27,1.244992963083252
2021-04-24,1.2319270699174607
2021-05-29,1.4356501195213571
2021-06-26,1.5332185742461095
2021-07-31,1.6203332659646383
2021-08-28,1.7266131898612436
2021-09-25,1.8172124692485137
2021-10-30,1.8886465164577075
2021-11-27,1.958338269832531
